timestamp,hour,day_of_week,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month,season,day_of_year,doy_sin,doy_cos,hour_since_midnight,is_peak_pollution_hour,is_low_pollution_hour,is_rush_hour,is_business_hours,hours_since_midnight,hours_until_midnight
2025-04-16 02:00:00,2,2,0,0.4999999999999999,0.8660254037844387,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,2,0,0,0,0,2,22
2025-04-16 03:00:00,3,2,0,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,3,0,0,0,0,3,21
2025-04-16 04:00:00,4,2,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,4,0,0,0,0,4,20
2025-04-16 05:00:00,5,2,0,0.9659258262890684,0.2588190451025207,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,5,0,0,0,0,5,19
2025-04-16 06:00:00,6,2,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,6,0,0,0,0,6,18
2025-04-16 07:00:00,7,2,0,0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,7,1,0,1,0,7,17
2025-04-16 08:00:00,8,2,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,8,1,0,1,0,8,16
2025-04-16 09:00:00,9,2,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,9,1,0,1,1,9,15
2025-04-16 10:00:00,10,2,0,0.4999999999999999,-0.8660254037844387,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,10,0,0,0,1,10,14
2025-04-16 11:00:00,11,2,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,11,0,0,0,1,11,13
2025-04-16 12:00:00,12,2,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,12,0,0,0,1,12,12
2025-04-16 13:00:00,13,2,0,-0.2588190451025208,-0.9659258262890684,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,13,0,1,0,1,13,11
2025-04-16 14:00:00,14,2,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,14,0,1,0,1,14,10
2025-04-16 15:00:00,15,2,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,15,0,1,0,1,15,9
2025-04-16 16:00:00,16,2,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,16,0,1,0,1,16,8
2025-04-16 17:00:00,17,2,0,-0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,17,0,0,1,1,17,7
2025-04-16 18:00:00,18,2,0,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,18,1,0,1,0,18,6
2025-04-16 19:00:00,19,2,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,19,1,0,1,0,19,5
2025-04-16 20:00:00,20,2,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,20,1,0,0,0,20,4
2025-04-16 21:00:00,21,2,0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,21,0,0,0,0,21,3
2025-04-16 22:00:00,22,2,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,22,0,0,0,0,22,2
2025-04-16 23:00:00,23,2,0,-0.2588190451025215,0.965925826289068,0.9749279121818236,-0.2225209339563143,4,1,106,0.9679377830240642,-0.2511900638848193,23,0,0,0,0,23,1
2025-04-17 00:00:00,0,3,0,0.0,1.0,0.4338837391175582,-0.900968867902419,4,1,107,0.9634705485641488,-0.2678143051621742,0,0,0,0,0,0,24
2025-04-17 01:00:00,1,3,0,0.2588190451025207,0.9659258262890684,0.4338837391175582,-0.900968867902419,4,1,107,0.9634705485641488,-0.2678143051621742,1,0,0,0,0,1,23
2025-04-17 02:00:00,2,3,0,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,4,1,107,0.9634705485641488,-0.2678143051621742,2,0,0,0,0,2,22
2025-04-17 03:00:00,3,3,0,0.7071067811865476,0.7071067811865476,0.4338837391175582,-0.900968867902419,4,1,107,0.9634705485641488,-0.2678143051621742,3,0,0,0,0,3,21
