timestamp,aqi_numeric_rolling_mean_6h,aqi_numeric_rolling_mean_12h,aqi_numeric_rolling_mean_24h,aqi_numeric_rolling_std_12h,aqi_numeric_rolling_std_24h,aqi_numeric_rolling_q25_3h,aqi_numeric_rolling_q75_3h,aqi_numeric_rolling_min_3h,aqi_numeric_rolling_max_3h,aqi_numeric_rolling_q25_8h,aqi_numeric_rolling_q75_8h,aqi_numeric_rolling_min_8h,aqi_numeric_rolling_max_8h,aqi_numeric_rolling_q25_16h,aqi_numeric_rolling_q75_16h,aqi_numeric_rolling_min_16h,aqi_numeric_rolling_max_16h,aqi_numeric_rolling_q25_36h,aqi_numeric_rolling_q75_36h,aqi_numeric_rolling_min_36h,aqi_numeric_rolling_max_36h,aqi_numeric_rolling_q25_48h,aqi_numeric_rolling_q75_48h,aqi_numeric_rolling_min_48h,aqi_numeric_rolling_max_48h
2025-04-29 10:00:00,213.51602288984267,140.17932761087266,100.6517703862661,168.30064421346222,123.25680937563487,276.36223175965665,500.0,52.7244635193133,500.0,65.79989270386267,192.12950643776824,52.7244635193133,500.0,65.93133047210301,71.062660944206,52.7244635193133,500.0,60.57392703862661,66.79356223175967,48.66666666666667,500.0,56.23122317596567,66.22575107296137,41.29166666666667,500.0
2025-04-29 11:00:00,209.26795422031475,139.0121602288984,100.6631616595136,168.9087189477953,123.2521107068376,276.0362660944206,500.0,52.0725321888412,500.0,59.15965665236052,192.12950643776824,52.0725321888412,500.0,65.93133047210301,71.062660944206,52.0725321888412,500.0,59.82210300429185,66.79356223175967,48.66666666666667,500.0,56.23122317596567,66.22575107296137,42.083333333333336,500.0
2025-04-29 12:00:00,203.2568669527897,137.91334048640917,100.69821173104437,169.46440984066456,123.23796667151632,52.756008583690985,276.7197424892704,52.0725321888412,500.0,53.26072961373391,192.12950643776824,52.0725321888412,500.0,64.72736051502147,71.062660944206,52.0725321888412,500.0,57.27221030042919,66.79356223175967,48.66666666666667,500.0,56.23122317596567,66.22575107296137,44.708333333333336,500.0
2025-04-29 13:00:00,202.31752503576536,137.02832618025752,100.74991058655222,169.89964049095624,123.21797076961566,52.756008583690985,54.55407725321889,52.0725321888412,55.668669527897,53.26072961373391,192.12950643776824,52.0725321888412,500.0,59.89570815450644,71.062660944206,52.0725321888412,500.0,56.45729613733906,66.79356223175967,48.66666666666667,500.0,56.425751072961376,66.22575107296137,48.66666666666667,500.0
2025-04-29 14:00:00,203.3024320457797,136.42546494992848,100.79898068669527,170.18768577757413,123.20021317255454,54.55407725321889,57.15128755364808,53.439484978540776,58.63390557939914,53.26072961373391,170.9785407725322,52.0725321888412,500.0,57.89259656652361,71.062660944206,52.0725321888412,500.0,56.45729613733906,66.79356223175967,48.66666666666667,500.0,56.70965665236052,66.22575107296137,48.66666666666667,500.0
2025-04-29 15:00:00,130.2040772532189,135.93476394849785,100.83227825464952,170.41345841397575,123.18898664448876,57.15128755364808,60.02188841201717,55.668669527897,61.4098712446352,53.26072961373391,171.0574034334764,52.0725321888412,500.0,57.89259656652361,71.062660944206,52.0725321888412,500.0,56.45729613733906,66.79356223175967,48.66666666666667,500.0,57.27221030042919,66.22575107296137,48.66666666666667,500.0
2025-04-29 16:00:00,57.43519313304723,135.47560801144493,100.86557582260372,170.61780450584322,123.1783073110033,60.02188841201717,62.398283261802575,58.63390557939914,63.38669527896995,55.11137339055794,172.54002145922746,52.0725321888412,500.0,57.89259656652361,71.062660944206,52.0725321888412,500.0,56.45729613733906,66.79356223175967,48.66666666666667,500.0,57.8505364806867,66.22575107296137,48.66666666666667,500.0
2025-04-29 17:00:00,59.73447782546498,134.50121602288985,100.9286659513591,171.0115550139953,123.15917986407608,62.398283261802575,64.6274678111588,61.4098712446352,65.86824034334765,55.11137339055794,64.00708154506438,52.0725321888412,500.0,57.89259656652361,71.062660944206,52.0725321888412,500.0,56.45729613733906,66.53068669527897,48.66666666666667,500.0,58.21856223175966,66.22575107296137,48.66666666666667,500.0
2025-04-29 18:00:00,62.11437768240345,132.68562231759657,101.02417739628042,171.64716082899085,123.1313362270991,64.6274678111588,66.79356223175967,63.38669527896995,67.71888412017168,55.11137339055794,64.00708154506438,52.0725321888412,67.71888412017168,57.89259656652361,71.062660944206,52.0725321888412,500.0,56.45729613733906,66.53068669527897,48.66666666666667,500.0,58.54978540772533,66.34141630901287,48.66666666666667,500.0
2025-04-29 19:00:00,64.22088698140202,133.2692060085837,101.13809012875537,171.39412839764216,123.09837424429412,66.79356223175967,68.01330472103004,65.86824034334765,68.30772532188841,57.89259656652361,66.33090128755366,53.439484978540776,68.30772532188841,57.89259656652361,71.062660944206,52.0725321888412,500.0,57.0093347639485,66.79356223175967,48.66666666666667,500.0,58.76008583690987,66.53068669527897,48.66666666666667,500.0
2025-04-29 20:00:00,65.93834048640917,134.6203862660944,101.26251788268956,170.76418599055057,123.06276630498778,68.01330472103004,68.62317596566524,67.71888412017168,68.93862660944205,60.71587982832618,67.86609442060086,55.668669527897,68.93862660944205,57.89259656652361,71.09420600858368,52.0725321888412,500.0,58.33948497854077,67.40343347639485,48.66666666666667,500.0,59.485622317596565,66.79356223175967,48.66666666666667,500.0
2025-04-29 21:00:00,139.03669527896997,134.6203862660944,119.32505364806866,170.76418599055057,147.1874263478584,68.62317596566524,284.469313304721,68.30772532188841,500.0,62.89248927038626,68.46545064377682,58.63390557939914,500.0,57.89259656652361,74.0804721030043,52.0725321888412,500.0,60.11652360515022,67.86609442060086,51.79914163090129,500.0,59.75375536480687,67.40343347639485,48.66666666666667,500.0
2025-04-29 22:00:00,211.80557939914164,134.6203862660944,137.39985693848354,170.76418599055057,165.83465647520688,284.469313304721,500.0,68.93862660944205,500.0,65.24785407725322,176.70396995708154,61.4098712446352,500.0,57.89259656652361,176.70396995708154,52.0725321888412,500.0,60.11652360515022,67.86609442060086,51.79914163090129,500.0,60.00611587982833,67.86609442060086,48.66666666666667,500.0
2025-04-29 23:00:00,284.16087267525035,171.94767525035766,155.47991773962804,197.88258117832743,180.707892187386,500.0,500.0,500.0,500.0,67.25622317596567,500.0,63.38669527896995,500.0,57.89259656652361,500.0,52.0725321888412,500.0,61.13122317596567,68.45493562231759,52.0725321888412,500.0,60.11652360515022,68.45493562231759,48.66666666666667,500.0
2025-04-30 00:00:00,284.58147353361943,173.34792560801145,155.6306330472103,197.0253561330071,180.6320554774568,285.12124463519314,500.0,70.24248927038627,500.0,68.16051502145923,500.0,65.86824034334765,500.0,60.71587982832618,500.0,52.0725321888412,500.0,61.38358369098713,68.90708154506437,52.0725321888412,500.0,60.11652360515022,68.90708154506437,48.66666666666667,500.0
2025-04-30 01:00:00,284.97753934191707,174.5992131616595,155.81376967095852,196.2562243463004,180.5397411460921,70.46330472103006,285.3420600858369,70.24248927038627,500.0,68.78090128755365,500.0,67.71888412017168,500.0,60.71587982832618,178.01309012875538,52.0725321888412,500.0,62.293133047210304,69.26459227467811,52.0725321888412,500.0,60.11652360515022,69.11738197424893,48.66666666666667,500.0
2025-04-30 02:00:00,285.4962804005723,175.71731044349067,156.0713876967096,195.57252278161727,180.4101794301166,70.46330472103006,71.36759656652362,70.24248927038627,72.0510729613734,69.91652360515022,500.0,68.30772532188841,500.0,60.71587982832618,71.02585836909871,52.0725321888412,500.0,63.18690987124463,70.35289699570816,52.0725321888412,500.0,60.11652360515022,69.8008583690987,48.66666666666667,500.0
2025-04-30 03:00:00,214.67267525035768,176.8546852646638,156.39472460658084,194.88580262144995,180.2510436990023,71.36759656652362,73.55472103004291,70.68412017167383,75.05836909871245,70.57371244635193,500.0,68.93862660944205,500.0,62.89248927038626,72.80289699570815,53.439484978540776,500.0,64.11223175965665,71.02585836909871,52.0725321888412,500.0,60.11652360515022,70.35289699570816,48.66666666666667,500.0
2025-04-30 04:00:00,144.50450643776824,178.15504291845494,156.81532546494995,194.1103866359232,180.04966181362892,73.55472103004291,77.02467811158797,72.0510729613734,78.99098712446352,71.7093347639485,500.0,70.24248927038627,500.0,65.24785407725322,76.04152360515022,55.668669527897,500.0,65.15847639484979,72.80289699570815,52.0725321888412,500.0,60.11652360515022,71.02585836909871,48.66666666666667,500.0
2025-04-30 05:00:00,76.07482117310445,180.11784692417743,157.3095314735336,192.98758313349103,179.83881831781738,77.02467811158797,84.20643776824035,75.05836909871245,89.42188841201718,71.7093347639485,192.06641630901288,70.24248927038627,500.0,67.25622317596567,81.59871244635193,58.63390557939914,500.0,65.53701716738198,75.68401287553648,52.0725321888412,500.0,60.11652360515022,72.80289699570815,48.66666666666667,500.0
