timestamp,aqi_lag1h,aqi_lag3h,aqi_lag6h,pm25_lag6h
2025-04-04 08:00:00,18.875000000000004,158.8069546891465,151.4027397260274,56.28
2025-04-04 09:00:00,11.000000000000002,115.77386934673368,157.33540569020022,67.77
2025-04-04 10:00:00,11.125,18.875000000000004,160.8877766069547,74.65
2025-04-04 11:00:00,11.75,11.000000000000002,158.8069546891465,70.62
2025-04-04 12:00:00,12.625,11.125,115.77386934673368,41.5
2025-04-04 13:00:00,13.208333333333334,11.75,18.875000000000004,4.53
2025-04-04 14:00:00,40.54166666666667,12.625,11.000000000000002,2.64
2025-04-04 15:00:00,77.75021459227469,13.208333333333334,11.125,2.67
2025-04-04 16:00:00,116.1678391959799,40.54166666666667,11.75,2.82
2025-04-04 17:00:00,151.56280295047418,77.75021459227469,12.625,3.03
2025-04-04 18:00:00,159.06512118018966,116.1678391959799,13.208333333333334,3.17
2025-04-04 19:00:00,163.45395152792412,151.56280295047418,40.54166666666667,9.73
2025-04-04 20:00:00,161.1820864067439,159.06512118018966,77.75021459227469,24.82
2025-04-04 21:00:00,156.92233930453108,163.45395152792412,116.1678391959799,41.66
2025-04-04 22:00:00,155.0222339304531,161.1820864067439,151.56280295047418,56.59
2025-04-04 23:00:00,152.35795574288724,156.92233930453108,159.06512118018966,71.12
2025-04-05 00:00:00,141.08643216080404,155.0222339304531,163.45395152792412,79.62
2025-04-06 01:00:00,131.21256281407037,152.35795574288724,161.1820864067439,75.22
2025-04-06 02:00:00,77.91845493562232,141.08643216080404,156.92233930453108,66.97
2025-04-06 03:00:00,77.91845493562232,131.21256281407037,155.0222339304531,63.29
2025-04-06 04:00:00,78.71759656652361,77.91845493562232,152.35795574288724,58.13
2025-04-06 05:00:00,80.08454935622318,77.91845493562232,141.08643216080404,51.78
2025-04-06 06:00:00,84.52188841201718,78.71759656652361,131.21256281407037,47.77
2025-04-06 07:00:00,92.42918454935624,80.08454935622318,77.91845493562232,24.9
2025-04-06 08:00:00,74.34334763948499,84.52188841201718,77.91845493562232,24.9
2025-04-06 09:00:00,68.13948497854078,92.42918454935624,78.71759656652361,25.28
2025-04-06 10:00:00,67.00386266094421,74.34334763948499,80.08454935622318,25.93
2025-04-06 11:00:00,65.46866952789699,68.13948497854078,84.52188841201718,28.04
2025-04-06 12:00:00,64.52231759656652,67.00386266094421,92.42918454935624,31.8
2025-04-06 13:00:00,65.11115879828326,65.46866952789699,74.34334763948499,23.2
2025-04-06 14:00:00,67.29828326180258,64.52231759656652,68.13948497854078,20.25
2025-04-06 15:00:00,70.34763948497854,65.11115879828326,67.00386266094421,19.71
2025-04-06 16:00:00,73.3549356223176,67.29828326180258,65.46866952789699,18.98
2025-04-06 17:00:00,75.12145922746782,70.34763948497854,64.52231759656652,18.53
2025-04-06 18:00:00,77.05622317596567,73.3549356223176,65.11115879828326,18.81
2025-04-06 19:00:00,78.46523605150215,75.12145922746782,67.29828326180258,19.85
2025-04-06 20:00:00,79.18025751072962,77.05622317596567,70.34763948497854,21.3
2025-04-06 21:00:00,80.29484978540773,78.46523605150215,73.3549356223176,22.73
2025-04-06 22:00:00,81.34635193133047,79.18025751072962,75.12145922746782,23.57
2025-04-06 23:00:00,80.27381974248928,80.29484978540773,77.05622317596567,24.49
2025-04-07 00:00:00,80.02145922746782,81.34635193133047,78.46523605150215,25.16
2025-04-07 01:00:00,80.42103004291846,80.27381974248928,79.18025751072962,25.5
2025-04-07 02:00:00,80.73648068669527,80.02145922746782,80.29484978540773,26.03
2025-04-07 03:00:00,81.17811158798284,80.42103004291846,81.34635193133047,26.53
2025-04-07 04:00:00,82.56609442060086,80.73648068669527,80.27381974248928,26.02
2025-04-07 05:00:00,84.33261802575107,81.17811158798284,80.02145922746782,25.9
2025-04-07 06:00:00,91.9665236051502,82.56609442060086,80.42103004291846,26.09
2025-04-07 07:00:00,109.05175879396984,84.33261802575107,80.73648068669527,26.24
2025-04-07 08:00:00,89.52703862660945,91.9665236051502,81.17811158798284,26.45
2025-04-07 09:00:00,89.14849785407726,109.05175879396984,82.56609442060086,27.11
2025-04-07 10:00:00,90.15793991416308,89.52703862660945,84.33261802575107,27.95
2025-04-07 11:00:00,91.69313304721032,89.14849785407726,91.9665236051502,31.58
2025-04-07 12:00:00,92.51330472103004,90.15793991416308,109.05175879396984,38.77
2025-04-07 13:00:00,93.1862660944206,91.69313304721032,89.52703862660945,30.42
2025-04-07 14:00:00,94.46909871244635,92.51330472103004,89.14849785407726,30.24
2025-04-07 15:00:00,96.7824034334764,93.1862660944206,90.15793991416308,30.72
2025-04-07 16:00:00,99.3480686695279,94.46909871244635,91.69313304721032,31.45
2025-04-07 17:00:00,101.12311557788944,96.7824034334764,92.51330472103004,31.84
2025-04-07 18:00:00,102.32964824120604,99.3480686695279,93.1862660944206,32.16
2025-04-07 19:00:00,102.45276381909548,101.12311557788944,94.46909871244635,32.77
2025-04-07 20:00:00,99.91587982832618,102.32964824120604,96.7824034334764,33.87
2025-04-07 21:00:00,98.86437768240344,102.45276381909548,99.3480686695279,35.09
2025-04-07 22:00:00,97.87596566523608,99.91587982832618,101.12311557788944,35.55
2025-04-07 23:00:00,96.4038626609442,98.86437768240344,102.32964824120604,36.04
2025-04-08 00:00:00,95.58369098712448,97.87596566523608,102.45276381909548,36.09
2025-04-08 01:00:00,95.1,96.4038626609442,99.91587982832618,35.36
2025-04-08 02:00:00,93.85922746781117,95.58369098712448,98.86437768240344,34.86
2025-04-08 03:00:00,93.58583690987123,95.1,97.87596566523608,34.39
2025-04-08 04:00:00,94.65836909871246,93.85922746781117,96.4038626609442,33.69
2025-04-08 05:00:00,96.84549356223177,93.58583690987123,95.58369098712448,33.3
2025-04-08 06:00:00,106.39246231155778,94.65836909871246,95.1,33.07
2025-04-08 07:00:00,122.88994974874372,96.84549356223177,93.85922746781117,32.48
2025-04-08 08:00:00,126.58341708542714,106.39246231155778,93.58583690987123,32.35
2025-04-08 09:00:00,120.94472361809044,122.88994974874372,94.65836909871246,32.86
2025-04-08 10:00:00,112.69597989949747,126.58341708542714,96.84549356223177,33.9
2025-04-08 11:00:00,104.2502512562814,120.94472361809044,106.39246231155778,37.69
2025-04-08 12:00:00,97.72875536480689,112.69597989949747,122.88994974874372,44.39
2025-04-08 13:00:00,90.85193133047213,104.2502512562814,126.58341708542714,45.89
2025-04-08 14:00:00,81.70386266094421,97.72875536480689,120.94472361809044,43.6
2025-04-08 15:00:00,74.99527896995708,90.85193133047213,112.69597989949747,40.25
