timestamp,aqi_category,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-06-18 18:00:00,4.0,477.11,0.0,7.56,109.01,4.12,69.8,107.04,60.22
2025-06-18 19:00:00,4.0,486.56,0.0,7.96,101.59,3.73,70.26,108.26,63.06
2025-06-18 20:00:00,4.0,491.54,0.0,7.98,96.13,3.35,70.87,109.93,66.03
2025-06-18 21:00:00,4.0,496.74,0.0,7.95,90.37,3.02,71.52,111.37,69.62
2025-06-18 22:00:00,4.0,501.73,0.0,8.06,83.87,2.75,71.75,111.98,73.99
2025-06-18 23:00:00,4.0,512.58,0.0,8.41,77.46,2.58,72.53,113.29,80.47
2025-06-19 00:00:00,4.0,526.93,0.0,8.93,71.66,2.49,73.47,115.01,88.36
2025-06-19 01:00:00,4.0,539.51,0.01,9.5,66.25,2.45,73.96,116.4,93.69
2025-06-19 02:00:00,4.0,563.69,0.34,9.99,63.72,2.55,74.52,118.92,90.27
2025-06-19 03:00:00,5.0,581.07,1.0,9.34,73.23,3.06,75.3,123.27,82.28
2025-06-19 04:00:00,4.0,442.77,0.33,3.3,127.46,8.87,68.92,123.0,47.24
2025-06-19 05:00:00,4.0,414.19,0.23,2.08,144.4,9.82,68.16,118.97,40.1
2025-06-19 06:00:00,4.0,398.26,0.17,1.54,155.09,9.36,69.65,118.69,36.89
2025-06-19 07:00:00,4.0,355.17,0.12,1.04,159.06,7.44,65.19,109.8,29.23
2025-06-19 08:00:00,4.0,319.4,0.09,0.8,156.49,5.82,59.97,100.21,24.26
2025-06-19 09:00:00,4.0,305.05,0.08,0.75,154.74,5.14,57.86,96.34,22.62
2025-06-19 10:00:00,4.0,301.83,0.08,0.79,155.38,4.82,57.57,95.94,22.39
2025-06-19 11:00:00,4.0,301.97,0.08,0.92,155.13,4.71,57.95,97.04,23.0
2025-06-19 12:00:00,4.0,305.26,0.08,1.17,154.39,4.67,58.29,98.5,23.77
2025-06-19 13:00:00,4.0,328.05,0.09,2.53,147.95,4.69,59.75,100.29,29.8
2025-06-19 14:00:00,4.0,369.61,0.03,4.85,135.35,4.69,62.11,103.27,39.9
2025-06-19 15:00:00,4.0,407.55,0.0,6.22,124.76,4.65,64.53,107.38,47.82
2025-06-19 16:00:00,4.0,435.35,0.0,7.1,115.49,4.47,66.06,110.29,53.69
2025-06-19 17:00:00,4.0,467.18,0.0,8.04,107.65,4.31,68.17,114.21,59.43
2025-06-19 18:00:00,4.0,495.98,0.0,8.95,101.05,4.14,70.08,117.94,65.47
2025-06-19 19:00:00,4.0,508.59,0.0,9.39,95.08,3.91,71.0,119.65,70.55
2025-06-19 20:00:00,4.0,517.68,0.0,9.26,90.18,3.62,72.17,120.98,72.47
2025-06-19 21:00:00,4.0,525.08,0.0,8.82,86.01,3.32,73.06,121.43,72.29
2025-06-19 22:00:00,4.0,528.93,0.0,8.37,82.19,3.01,73.42,120.23,71.2
2025-06-19 23:00:00,4.0,546.98,0.0,8.66,76.38,2.69,74.5,119.58,74.95
2025-06-20 00:00:00,5.0,564.9,0.0,8.98,71.78,2.48,75.64,119.88,81.21
2025-06-20 01:00:00,5.0,574.45,0.01,9.08,68.8,2.41,75.37,119.29,86.7
2025-06-20 02:00:00,5.0,587.25,0.19,9.1,70.2,2.57,75.46,120.39,85.87
2025-06-20 03:00:00,5.0,587.67,0.59,8.02,82.89,2.99,75.8,122.52,79.2
2025-06-20 04:00:00,4.0,495.6,0.25,3.14,128.71,5.53,72.72,122.37,50.99
2025-06-20 05:00:00,4.0,471.33,0.19,2.01,144.92,6.68,72.06,120.39,43.41
2025-06-20 06:00:00,4.0,457.48,0.15,1.56,155.68,7.45,73.7,121.64,40.14
2025-06-20 07:00:00,4.0,404.14,0.11,1.09,160.61,7.59,71.0,117.13,30.52
2025-06-20 08:00:00,4.0,364.13,0.09,0.87,157.46,6.78,67.98,111.89,25.17
2025-06-20 09:00:00,4.0,350.81,0.08,0.85,155.37,6.3,67.13,110.47,23.8
2025-06-20 10:00:00,4.0,347.16,0.08,0.92,155.65,6.05,67.31,111.02,23.63
2025-06-20 11:00:00,4.0,342.79,0.08,1.06,154.48,5.83,66.81,110.81,23.82
2025-06-20 12:00:00,4.0,340.0,0.07,1.3,152.6,5.61,65.77,109.98,24.17
2025-06-20 13:00:00,4.0,356.99,0.07,2.53,145.6,5.39,65.76,109.27,29.68
2025-06-20 14:00:00,4.0,387.83,0.02,4.34,134.36,5.19,66.57,109.64,38.48
2025-06-20 15:00:00,4.0,415.91,0.0,5.35,124.95,5.0,67.58,110.99,45.65
2025-06-20 16:00:00,4.0,441.37,0.0,6.21,114.96,4.67,68.02,110.76,51.73
2025-06-20 17:00:00,4.0,470.63,0.0,7.06,107.15,4.36,69.23,111.11,55.73
2025-06-20 18:00:00,4.0,490.54,0.0,7.47,103.65,4.08,70.24,111.37,58.07
2025-06-20 19:00:00,4.0,487.88,0.0,7.07,105.0,3.77,70.16,110.38,58.44
2025-06-20 20:00:00,4.0,491.15,0.0,6.65,104.39,3.48,70.78,109.73,60.14
2025-06-20 21:00:00,4.0,496.58,0.0,6.19,102.9,3.24,71.29,109.13,61.4
2025-06-20 22:00:00,4.0,498.98,0.0,5.86,99.21,2.99,71.07,107.73,62.06
2025-06-20 23:00:00,4.0,503.08,0.0,5.65,95.74,2.77,70.98,106.41,63.14
